item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,model,surp
1,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone offered him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.044379234313965
1,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone offered her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.39246940612793
1,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.218219757080078
1,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.607231140136719
2,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While a parent drove him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.90179443359375
2,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While a parent drove her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.424741744995115
2,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.447765350341797
2,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.92635726928711
3,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an employee baked him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.873719215393066
3,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an employee baked her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.305167198181152
3,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While baking him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.128917694091797
3,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While baking her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.671647071838379
4,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After an orderly lifted him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.00484561920166
4,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After an orderly lifted her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After an orderly lifted her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After an orderly lifted her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After an orderly lifted her onto the bus, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.398347854614258
4,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After lifting him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.928064346313477
