item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_1-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_2-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_3-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_4-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_5-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_6-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_7-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_8-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_9-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_10-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_11-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_12-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_13-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_14-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_15-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_16-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_17-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_18-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_19-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_20-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_21-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_22-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_23-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_24-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_25-d0.2.pt_surp
1,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone offered him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry, the","Before anyone offered him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry, the",man,8.044379234313965,7.820438861846924,7.788804054260254,8.115191459655762,8.030952453613281,8.708431243896484,8.45063591003418,8.149344444274902,8.008264541625977,7.698487281799316,9.005728721618652,7.487003326416016,7.882183074951172,7.945489883422852,7.715943813323975,7.6627349853515625,7.908450603485107,7.358482837677002,7.550307750701904,6.88690185546875,8.359825134277344,8.256149291992188,8.280993461608887,7.072823524475098,8.864765167236328
1,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone offered her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry, the","Before anyone offered her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry, the",man,8.39246940612793,8.165639877319336,7.887795448303223,8.384635925292969,8.546680450439453,8.831318855285645,8.710991859436035,8.436073303222656,8.272279739379883,7.721787929534912,9.241388320922852,7.531940937042236,8.161540985107422,8.177492141723633,7.98526668548584,8.093031883239746,8.248939514160156,7.68673849105835,7.836807727813721,7.287338733673096,8.397974967956543,8.457103729248047,8.424509048461914,7.424555778503418,8.824804306030273
1,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the",man,8.218219757080078,8.234953880310059,7.7177557945251465,8.574240684509277,8.318385124206543,8.8543701171875,8.751872062683105,8.319633483886719,8.14688491821289,7.946193218231201,8.670467376708984,7.653417587280273,7.792148590087891,8.440439224243164,7.85164213180542,8.160857200622559,8.223469734191895,7.517414569854736,8.089312553405762,7.182092189788818,8.646185874938965,8.460526466369629,8.351404190063477,7.110358238220215,8.737699508666992
1,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the",man,8.607231140136719,8.566999435424805,7.936708927154541,8.890942573547363,8.83020305633545,9.134072303771973,9.098847389221191,8.64208984375,8.476236343383789,7.927746772766113,9.250428199768066,7.897591590881348,8.150557518005371,8.762943267822266,8.108220100402832,8.598877906799316,8.536712646484375,8.00012493133545,8.303815841674805,7.700242519378662,8.764700889587402,8.668694496154785,8.52234935760498,7.509735107421875,9.059836387634277
2,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While a parent drove him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday, the","While a parent drove him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday, the",man,8.90179443359375,8.35583782196045,9.252802848815918,6.838263511657715,7.788601398468018,9.244775772094727,8.387242317199707,7.928199291229248,8.120593070983887,7.699118137359619,9.704609870910645,8.630358695983887,8.425536155700684,7.955338001251221,9.152323722839355,8.912613868713379,8.53113079071045,8.916031837463379,9.348027229309082,8.511381149291992,8.618802070617676,9.414934158325195,8.706669807434082,8.878802299499512,8.7701997756958
2,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While a parent drove her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday, the","While a parent drove her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday, the",man,9.424741744995117,8.6902437210083,9.824448585510254,7.304927825927734,8.409141540527344,9.718212127685547,8.475072860717773,8.236605644226074,8.505483627319336,8.03793716430664,10.163310050964355,8.946297645568848,8.794828414916992,8.429563522338867,9.46224594116211,9.384320259094238,8.786968231201172,9.631307601928711,9.76108169555664,9.360177993774414,8.876803398132324,9.821866035461426,9.167386054992676,9.18658447265625,9.097372055053711
2,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the",man,9.447765350341797,8.518420219421387,9.042977333068848,7.190941333770752,7.918064594268799,9.063014030456543,8.104326248168945,7.9786834716796875,8.326848030090332,7.435291290283203,10.594144821166992,8.477119445800781,8.763371467590332,7.915995121002197,9.686493873596191,8.890456199645996,8.007871627807617,8.839200019836426,9.239761352539062,7.957901954650879,8.418098449707031,8.84931755065918,8.09896183013916,8.130071640014648,8.881486892700195
2,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the",man,9.92635726928711,8.704792022705078,9.34720230102539,7.6984758377075195,8.505504608154297,9.531493186950684,8.267234802246094,8.27641487121582,8.581103324890137,7.783249378204346,10.95598030090332,8.873370170593262,9.12669849395752,8.56814956665039,10.053751945495605,9.338817596435547,8.403009414672852,9.633938789367676,9.80912971496582,9.011056900024414,8.765130043029785,9.446474075317383,8.466444969177246,8.433974266052246,9.4108247756958
3,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an employee baked him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies, the","While an employee baked him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies, the",man,7.873719215393066,8.781820297241211,7.509958267211914,7.7506022453308105,7.072753429412842,8.10918140411377,7.5756072998046875,8.283132553100586,8.901293754577637,7.000786781311035,8.847710609436035,8.056775093078613,8.34291934967041,7.411768436431885,7.782826900482178,8.101122856140137,7.605224609375,7.404219150543213,8.175187110900879,7.464241027832031,8.227091789245605,8.210330963134766,8.11122989654541,7.621706962585449,8.02392578125
3,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an employee baked her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies, the","While an employee baked her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies, the",man,8.305167198181152,9.005386352539062,7.857609272003174,8.18488883972168,7.903967380523682,8.770808219909668,8.070917129516602,8.514396667480469,9.076253890991211,7.357664108276367,9.03462028503418,8.34197998046875,8.786108016967773,7.924530982971191,8.172683715820312,8.554174423217773,8.167202949523926,7.810699462890625,8.555784225463867,8.235013961791992,8.304535865783691,8.75101089477539,8.362446784973145,7.59782075881958,8.392427444458008
