item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,/data/bert-base-uncased_surp,/data/roberta-base_surp
1,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone offered him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry, the",man,5.053250789642334,5.4025678634643555
1,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone offered her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry, the",man,3.2717654705047607,3.946669101715088
1,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the",man,4.651919364929199,4.535339832305908
1,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the",man,2.3038246631622314,3.3713386058807373
2,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While a parent drove him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday, the",man,5.447666168212891,4.617298603057861
2,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While a parent drove her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday, the",man,3.7638399600982666,3.7361717224121094
2,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the",man,3.8042080402374268,4.4527716636657715
2,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the",man,2.2497482299804688,3.2600696086883545
3,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an employee baked him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies, the",man,5.267040729522705,3.3870513439178467
3,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an employee baked her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies, the",man,2.4788172245025635,1.9164245128631592
3,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While baking him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the",man,7.928143501281738,5.7867751121521
3,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While baking her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the",man,2.8099539279937744,4.093902587890625
4,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After an orderly lifted him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus, the",man,6.153600215911865,6.213303089141846
4,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After an orderly lifted her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After an orderly lifted her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After an orderly lifted her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After an orderly lifted her onto the bus, the",man,6.357446670532227,6.971306800842285
4,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After lifting him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the",man,5.0374956130981445,5.916867733001709
4,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After lifting her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the",man,3.842524290084839,6.675410270690918
5,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before an officer interrogated him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime, the",man,5.009972095489502,1.6352757215499878
5,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before an officer interrogated her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime, the",man,6.552252769470215,3.131523370742798
5,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before interrogating him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the",man,4.06385612487793,5.2759199142456055
5,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before interrogating her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the",man,4.325892448425293,6.396576881408691
6,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a guest embarrassed him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party, the",man,5.671506404876709,2.93363356590271
6,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a guest embarrassed her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the",man,7.096988677978516,3.618548631668091
