item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,/data/gpt2-xl_surp,/data/transfo-xl-wt103_surp
1,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the",man,7.2107744216918945,10.9432954788208
1,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the",man,5.857128620147705,8.119810104370117
1,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before offering her son a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the","Before offering her son a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the",man,6.761271953582764,8.428986549377441
1,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before offering his son a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the","Before offering his son a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the",man,6.172660827636719,7.171049118041992
2,CATAMARAN-GEN-Match,No Constraint,Match,his,"While driving his daughter to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the","While driving his daughter to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the",man,3.4406754970550537,6.6841535568237305
2,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the",man,5.843792915344238,11.104785919189453
2,CATAMARAN-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the",man,4.868386745452881,7.819608211517334
2,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While driving her daughter to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the","While driving her daughter to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the",man,6.108276844024658,10.763681411743164
3,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While baking her friends some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the","While baking her friends some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the",man,7.991523742675781,12.100494384765625
3,CATAMARAN-GEN-Match,No Constraint,Match,his,"While baking his friends some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the","While baking his friends some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the",man,5.0669450759887695,9.989660263061523
3,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While baking her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the","While baking her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the",man,6.6005778312683105,12.38733196258545
3,CATAMARAN-OBJ-Match,Constraint,Match,him,"While baking him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the","While baking him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the",man,5.897690773010254,9.466249465942383
4,CATAMARAN-OBJ-Match,Constraint,Match,him,"After lifting him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the","After lifting him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the",man,3.930293083190918,8.342597961425781
4,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"After lifting her neighbor onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her neighbor onto the bus, the","After lifting her neighbor onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her neighbor onto the bus, the",man,4.943711280822754,8.663994789123535
4,CATAMARAN-GEN-Match,No Constraint,Match,his,"After lifting his neighbor onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting his neighbor onto the bus, the","After lifting his neighbor onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting his neighbor onto the bus, the",man,3.2549357414245605,4.061264514923096
4,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After lifting her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the","After lifting her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the",man,4.91094446182251,12.390507698059082
