item,exp,pronoun,cond,contrast,target_changed,mask_sents,auto_sents,target,sent,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_1-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_2-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_3-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_4-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_5-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_6-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_7-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_8-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_9-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_10-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_11-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_12-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_13-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_14-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_15-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_16-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_17-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_18-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_19-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_20-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_21-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_22-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_23-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_24-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_25-d0.2.pt_surp
1,1,he,m,Match,1,"When he was off work, the MASKTOKEN pestered the waitress all the time.","When he was off work, the",waiter,"When he was off work, the",14.323251724243164,15.114413261413574,14.375263214111328,14.465749740600586,14.044073104858398,14.21828842163086,14.643436431884766,13.885920524597168,15.237733840942383,14.514448165893555,14.218080520629883,15.546353340148926,13.927465438842773,13.999062538146973,14.204492568969727,15.416845321655273,15.192214965820312,14.719499588012695,14.056225776672363,14.270346641540527,14.470809936523438,14.451192855834961,14.879766464233398,15.181758880615234,14.519179344177246
1,1,she,m,Mismatch,1,"When she was off work, the MASKTOKEN pestered the waitress all the time.","When she was off work, the",waiter,"When she was off work, the",14.783768653869629,16.070199966430664,13.89638614654541,14.908821105957031,14.884002685546875,14.543657302856445,14.904678344726562,14.386778831481934,15.085159301757812,14.48167610168457,14.655144691467285,15.73854923248291,13.714302062988281,14.307902336120605,14.579572677612305,15.681588172912598,15.232260704040527,14.712382316589355,14.512627601623535,14.615185737609863,14.760244369506836,14.860440254211426,15.46459674835205,15.519448280334473,14.595253944396973
1,1,she,f,Match,0,"When she was off work, the MASKTOKEN pestered the waiter all the time.","When she was off work, the",waitress,"When she was off work, the",15.121440887451172,16.382646560668945,15.357475280761719,15.698939323425293,15.212894439697266,14.99555778503418,16.305152893066406,14.31726360321045,15.878365516662598,14.158805847167969,15.363640785217285,16.998817443847656,14.828224182128906,14.660758972167969,15.374055862426758,15.834882736206055,15.286819458007812,15.677299499511719,15.221658706665039,15.49647331237793,15.291516304016113,15.680424690246582,15.720903396606445,15.668031692504883,15.199987411499023
1,1,he,f,Mismatch,0,"When he was off work, the MASKTOKEN pestered the waiter all the time.","When he was off work, the",waitress,"When he was off work, the",16.500123977661133,17.371353149414062,17.214828491210938,16.92580795288086,16.895488739013672,17.08514976501465,17.8634090423584,15.76952075958252,17.450124740600586,15.914393424987793,16.27288818359375,17.740697860717773,16.200298309326172,16.40811538696289,16.44243049621582,17.228574752807617,16.304887771606445,16.80561065673828,15.93719482421875,17.150915145874023,16.425819396972656,16.77721405029297,17.3968505859375,17.21821403503418,16.491540908813477
2,1,he,m,Match,0,"When he arrived, the MASKTOKEN recognized the woman at once.","When he arrived, the",chairman,"When he arrived, the",11.958357810974121,11.35666275024414,11.501030921936035,11.738999366760254,11.751350402832031,12.069415092468262,11.377348899841309,11.216437339782715,12.561110496520996,11.662588119506836,11.476776123046875,11.260217666625977,11.14006233215332,10.913147926330566,11.656901359558105,11.834833145141602,10.752527236938477,11.423126220703125,11.492780685424805,11.371097564697266,12.265795707702637,11.91731071472168,11.16250228881836,12.320751190185547,11.158339500427246
2,1,she,m,Mismatch,0,"When she arrived, the MASKTOKEN recognized the woman at once.","When she arrived, the",chairman,"When she arrived, the",12.349387168884277,11.810114860534668,12.175986289978027,12.338129043579102,12.504453659057617,12.604668617248535,11.780388832092285,11.890740394592285,13.030155181884766,12.047274589538574,11.810221672058105,11.448593139648438,11.511104583740234,11.552776336669922,11.96479320526123,12.64533519744873,11.039862632751465,11.71117877960205,11.941872596740723,11.656993865966797,12.665262222290039,12.483920097351074,11.811697006225586,12.847661972045898,11.977705001831055
2,1,she,f,Match,1,"When she arrived, the MASKTOKEN recognized the chairman at once.","When she arrived, the",woman,"When she arrived, the",8.876888275146484,7.594645023345947,7.138282775878906,7.725884437561035,8.437243461608887,7.70654821395874,7.917396068572998,7.799747467041016,7.792550086975098,7.371347427368164,9.200179100036621,9.458529472351074,8.309531211853027,7.720994472503662,9.1946439743042,7.744204044342041,7.944088459014893,7.869572639465332,8.52152156829834,7.699860095977783,8.482955932617188,8.551595687866211,8.69251823425293,7.676263809204102,8.676657676696777
2,1,he,f,Mismatch,1,"When he arrived, the MASKTOKEN recognized the chairman at once.","When he arrived, the",woman,"When he arrived, the",10.163371086120605,9.287343978881836,8.92221450805664,9.555991172790527,10.361225128173828,9.734795570373535,9.688135147094727,9.469006538391113,9.391345977783203,9.049527168273926,10.385087966918945,10.335186958312988,9.636277198791504,9.41777515411377,10.173020362854004,9.246377944946289,9.6073637008667,9.154023170471191,9.589338302612305,9.559940338134766,9.68970775604248,9.863773345947266,10.53577709197998,9.197345733642578,10.338116645812988
3,1,he,m,Match,0,"When he was fed up, the MASKTOKEN visited the girl very often.","When he was fed up, the",boy,"When he was fed up, the",8.802118301391602,9.58449935913086,8.43483829498291,8.890156745910645,8.683712005615234,8.963624954223633,8.721451759338379,8.965888023376465,8.934659957885742,9.17109203338623,8.632598876953125,9.765279769897461,8.649197578430176,8.394259452819824,9.08711051940918,8.811071395874023,9.15134048461914,7.5376410484313965,8.621495246887207,8.562881469726562,8.9479341506958,8.41373348236084,9.148849487304688,9.345208168029785,8.877819061279297
3,1,she,m,Mismatch,0,"When she was fed up, the MASKTOKEN visited the girl very often.","When she was fed up, the",boy,"When she was fed up, the",8.92607593536377,9.827332496643066,8.289450645446777,9.266158103942871,9.170732498168945,8.873046875,8.664948463439941,9.08267879486084,9.43923568725586,9.194101333618164,9.087745666503906,9.903322219848633,8.52592945098877,8.519658088684082,9.244904518127441,9.317729949951172,9.018654823303223,7.778495788574219,8.680383682250977,8.71485710144043,9.20601749420166,8.911349296569824,9.473188400268555,9.282148361206055,8.776058197021484
